Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240305_170239698_0197,1,0.165,0.165,2.363,255
Basler_acA1920-25um__24398320__20240305_170239698_0198,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0199,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0200,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0201,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0202,1,0.219,0.219,3.139,255
Basler_acA1920-25um__24398320__20240305_170239698_0203,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0204,3,0.325,0.108,4.665,255
Basler_acA1920-25um__24398320__20240305_170239698_0205,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0206,1,0.239,0.239,3.432,255
Basler_acA1920-25um__24398320__20240305_170239698_0207,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0208,1,0.209,0.209,3.002,255
Basler_acA1920-25um__24398320__20240305_170239698_0209,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0210,2,0.270,0.135,3.876,255
Basler_acA1920-25um__24398320__20240305_170239698_0211,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0212,2,0.273,0.136,3.914,255
Basler_acA1920-25um__24398320__20240305_170239698_0213,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0214,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0215,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0216,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0217,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0218,2,0.104,0.052,1.486,255
Basler_acA1920-25um__24398320__20240305_170239698_0219,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0220,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0221,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0222,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0223,1,0.135,0.135,1.940,255
